Name,Position,Team,Opp,Week,PassYds,PassTD,Int,RushYds,RushTD,Fum,ModelPoints,Projection,Rec,RecYds,RecTD
Justice Hill,RB,BAL,@MIA,9.0,,,,9.9,0.06,0.06,4.096017032967033,0.0,1.92,15.24,0.12
Rico Dowdle,RB,CAR,@GB,9.0,,,,21.47,0.12,0.06,3.8640670740474476,0.0,1.24,8.83,0.06
Jaylen Wright,RB,MIA,BAL,9.0,,,,22.63,0.18,0.06,3.2889724669603524,0.0,0.72,5.28,0.06
Roschon Johnson,RB,CHIQ,@CIN,9.0,,,,12.93,0.12,0.0,3.094,0.0,1.44,10.08,0.06
Jaleel McLaughlin,RB,DEN,@HOU,9.0,,,,17.45,0.11,0.12,2.801596926713948,0.0,1.44,10.08,0.0
Tank Bigsby,RB,JAX,@LV,9.0,,,,22.87,0.18,0.06,2.937375,0.0,0.62,4.49,0.0
Miles Sanders,RB,DAL,ARI,9.0,,,,16.03,0.12,0.0,2.8416179924242426,0.0,0.9,6.6,0.06
Blake Corum,RB,LAR,NO,9.0,,,,21.11,0.19,0.09,2.8985000000000003,0.0,0.64,4.32,0.0
Devin Neal,RB,NOQ,@LAR,9.0,,,,18.43,0.12,0.0,2.08,0.0,0.68,4.84,0.06
Raheem Mostert,RB,LV,JAX,9.0,,,,19.41,0.14,0.0,1.8594764705882354,0.0,0.69,4.78,0.0
Dameon Pierce,RB,HOU,DEN,9.0,,,,17.92,0.12,0.12,1.4019477611940296,0.0,0.72,5.16,0.0
Kyle Monangai,RB,CHI,@CIN,9.0,,,,15.68,0.12,0.0,1.72,0.0,0.62,4.43,0.0
Ollie Gordon II,RB,MIA,BAL,9.0,,,,15.67,0.22,0.2,1.7200000000000002,0.0,0.45,3.3,0.0
Jacory Croskey-Merritt,RB,WASQ,SEA,9.0,,,,16.62,0.15,0.0,1.9,0.0,0.38,2.75,0.0
DJ Giddens,RB,IND,@PIT,9.0,,,,14.7,0.12,0.0,1.72,0.0,0.57,4.29,0.0
Ty Johnson,RB,BUF,KC,9.0,,,,10.14,0.06,0.0,1.733634146341463,0.0,0.72,6.96,0.06
Devin Singletary,RB,NYG,SF,9.0,,,,13.85,0.12,0.0,1.7406814159292034,0.0,0.62,4.18,0.0
Kendre Miller,RB,NO,@LAR,9.0,,,,15.73,0.12,0.0,1.741923076923077,0.0,0.48,3.36,0.0
Emanuel Wilson,RB,GB,CAR,9.0,,,,12.47,0.12,0.0,1.7461052631578946,0.0,0.62,4.55,0.0
Samaje Perine,RB,CIN,CHI,9.0,,,,7.43,0.06,0.0,1.8714220430107527,0.0,0.87,6.14,0.06
Jarquez Hunter,RB,LAR,NO,9.0,,,,14.32,0.12,0.0,1.72,0.0,0.44,2.94,0.0
Audric Estimé,RB,DEN,@HOU,9.0,,,,14.4,0.0,0.0,1.0,0.0,0.9,5.4,0.0
Kareem Hunt,RB,KCQ,@BUF,9.0,,,,12.86,0.12,0.0,2.169491439594888,0.0,0.49,3.44,0.0
Khalil Herbert,RB,INDQ,@PIT,9.0,,,,13.51,0.12,0.0,1.7385,0.0,0.42,3.06,0.0
Antonio Gibson,RB,NE,ATL,9.0,,,,8.76,0.06,0.0,1.476032142857143,0.0,0.88,6.6,0.0
Jordan James,RB,SFQ,@NYG,9.0,,,,13.63,0.12,0.0,1.72,0.0,0.39,2.89,0.0
Brashard Smith,RB,KC,@BUF,9.0,,,,8.53,0.06,0.0,0.72,0.0,0.63,4.63,0.06
Kenneth Gainwell,RB,PIT,IND,9.0,,,,9.22,0.06,0.06,0.5501400000000001,0.0,0.62,4.43,0.06
Trevor Etienne,RB,CAR,@GB,9.0,,,,10.5,0.07,0.0,1.42,0.0,0.62,4.53,0.0
Elijah Mitchell,RB,KC,@BUF,9.0,,,,10.91,0.11,0.0,1.6600000000000001,0.0,0.4,2.85,0.0
Bijan Robinson,RB,ATL,@IND,10.0,,,,78.93,0.65,0.12,16.017127173373076,0.0,2.9,21.95,0.12
Jahmyr Gibbs,RB,DET,@WAS,10.0,,,,72.29,0.7,0.12,17.29837443438914,0.0,2.9,23.92,0.12
Saquon Barkley,RB,PHI,@GB,10.0,,,,93.28,0.65,0.12,16.38482792207792,0.0,1.85,14.75,0.1
Christian McCaffrey,RB,SF,LAR,10.0,,,,56.96,0.47,0.12,10.62302395209581,0.0,3.58,29.22,0.18
Derrick Henry,RB,BAL,@MIN,10.0,,,,92.08,0.77,0.12,13.833875,0.0,0.87,8.28,0.06
Ashton Jeanty,RB,LV,@DEN,10.0,,,,71.55,0.53,0.12,11.42,0.0,2.53,19.2,0.1
Bucky Irving,RB,TB,NE,10.0,,,,64.72,0.5,0.12,14.304844770515292,0.0,2.83,21.03,0.13
De'Von Achane,RB,MIAQ,BUF,10.0,,,,55.03,0.35,0.12,9.82,0.0,3.73,27.53,0.18
Josh Jacobs,RB,GB,PHI,10.0,,,,66.92,0.53,0.12,13.99499011627907,0.0,2.32,17.46,0.13
Jonathan Taylor,RB,IND,ATL,10.0,,,,77.06,0.59,0.12,11.661261551155114,0.0,1.58,11.84,0.06
Joe MixonRB - HOUNFI-A,nan,nan,JAX,10.0,,,,59.56,0.55,0.08,9.540000000000001,0.0,2.19,16.19,0.08
Omarion Hampton,RB,LAC,PIT,10.0,,,,60.7,0.53,0.12,10.18,0.0,2.25,17.1,0.06
Kyren Williams,RB,LAR,@SF,10.0,,,,65.03,0.59,0.12,11.599700456678399,0.0,1.77,12.38,0.06
Alvin Kamara,RB,NO,@CAR,10.0,,,,47.63,0.29,0.12,11.195355882352942,0.0,3.27,23.63,0.12
Chuba Hubbard,RB,CAR,NO,10.0,,,,61.45,0.41,0.12,10.691019530176757,0.0,2.16,15.87,0.06
James Cook,RB,BUF,@MIA,10.0,,,,57.04,0.44,0.11,10.979903153153154,0.0,2.01,15.67,0.12
Breece Hall,RB,NYJ,CLE,10.0,,,,60.3,0.3,0.12,11.461815063369125,0.0,2.3,18.16,0.11
James Conner,RB,ARI,@SEA,10.0,,,,57.76,0.47,0.12,11.165548587127159,0.0,2.03,15.06,0.06
Kenneth Walker III,RB,SEA,ARI,10.0,,,,51.62,0.38,0.12,10.27109150085974,0.0,2.4,17.6,0.08
RJ Harvey,RB,DEN,LV,10.0,,,,53.47,0.42,0.0,9.059999999999999,0.0,1.95,14.32,0.09
TreVeyon Henderson,RB,NE,@TB,10.0,,,,51.0,0.36,0.06,8.52,0.0,1.93,14.72,0.09
Quinshon Judkins,RB,CLE,@NYJ,10.0,,,,55.43,0.41,0.08,8.76,0.0,1.55,11.41,0.09
D'Andre Swift,RB,CHI,NYG,10.0,,,,48.77,0.34,0.06,7.220000000000001,0.0,2.04,14.73,0.06
Aaron Jones,RB,MIN,BAL,10.0,,,,46.76,0.23,0.12,8.886395600912778,0.0,2.24,16.8,0.12
Jaylen Warren,RB,PIT,@LAC,10.0,,,,44.12,0.24,0.06,9.008434210526316,0.0,2.5,18.54,0.06
Jaylen Warren,RB,PIT,@LAC,10.0,,,,44.12,0.24,0.06,9.008434210526316,0.0,2.5,18.54,0.06
David Montgomery,RB,DET,@WAS,10.0,,,,46.96,0.53,0.06,9.13227549203374,0.0,1.31,9.89,0.06
J.K. Dobbins,RB,DEN,LV,10.0,,,,39.9,0.37,0.15,6.249999999999999,0.0,2.24,15.83,0.08
Kaleb Johnson,RB,PIT,@LAC,10.0,,,,46.17,0.42,0.05,7.729999999999999,0.0,1.48,10.98,0.06
Travis Etienne,RB,JAX,@HOU,10.0,,,,37.84,0.23,0.06,7.9934001530612235,0.0,2.32,17.46,0.12
Tyrone Tracy Jr.,RB,NYG,@CHI,10.0,,,,44.7,0.23,0.06,6.5600000000000005,0.0,2.11,15.55,0.06
Brian Robinson,RB,WAS,DET,10.0,,,,43.11,0.45,0.06,6.880000000000001,0.0,1.21,8.83,0.06
Najee HarrisRB - LACNFI-A,nan,nan,PIT,10.0,,,,40.68,0.29,0.06,6.92,0.0,1.51,10.39,0.06
Jordan Mason,RB,MIN,BAL,10.0,,,,37.08,0.29,0.0,5.168158192090396,0.0,1.2,8.7,0.06
Rhamondre Stevenson,RB,NEQ,@TB,10.0,,,,35.55,0.24,0.06,6.693089680589679,0.0,1.5,10.54,0.06
Zach Charbonnet,RB,SEA,ARI,10.0,,,,24.83,0.18,0.06,6.145137610619468,0.0,2.26,16.32,0.06
Austin Ekeler,RB,WAS,DET,10.0,,,,22.32,0.18,0.06,6.77957767214951,0.0,1.84,14.07,0.1
Cam Skattebo,RB,NYGQ,@CHI,10.0,,,,29.82,0.23,0.05,3.53,0.0,1.28,9.69,0.05
Ray Davis,RB,BUF,@MIA,10.0,,,,28.32,0.24,0.06,3.661074468085106,0.0,1.0,9.16,0.06
Bhayshul Tuten,RB,JAX,@HOU,10.0,,,,25.13,0.18,0.0,3.44,0.0,1.26,9.26,0.06
Rachaad White,RB,TBQ,NE,10.0,,,,17.73,0.12,0.06,4.507373161764706,0.0,1.8,13.32,0.06
Trey Benson,RB,ARI,@SEA,10.0,,,,25.54,0.18,0.06,3.2966835443037974,0.0,1.06,7.62,0.06
Tyler Allgeier,RB,ATL,@IND,10.0,,,,31.08,0.21,0.05,4.3932232142857135,0.0,0.64,4.68,0.04
Isaac Guerendo,RB,SFQ,LAR,10.0,,,,26.24,0.18,0.0,3.478839285714286,0.0,0.86,6.23,0.06
Justice Hill,RB,BAL,@MIN,10.0,,,,9.9,0.06,0.06,4.096017032967033,0.0,1.92,15.24,0.12
Jerome Ford,RB,CLE,@NYJ,10.0,,,,19.9,0.12,0.06,3.1704678882438317,0.0,1.35,9.73,0.06
Rico Dowdle,RB,CAR,NO,10.0,,,,21.47,0.12,0.06,3.8640670740474476,0.0,1.24,8.83,0.06
Jaylen Wright,RB,MIA,BUF,10.0,,,,22.63,0.18,0.06,3.2889724669603524,0.0,0.72,5.28,0.06
Roschon Johnson,RB,CHIQ,NYG,10.0,,,,12.93,0.12,0.0,3.094,0.0,1.44,10.08,0.06
Jaleel McLaughlin,RB,DEN,LV,10.0,,,,17.45,0.11,0.12,2.801596926713948,0.0,1.44,10.08,0.0
Tank Bigsby,RB,JAX,@HOU,10.0,,,,22.87,0.18,0.06,2.937375,0.0,0.62,4.49,0.0
Dylan Sampson,RB,CLE,@NYJ,10.0,,,,18.21,0.08,0.0,1.72,0.0,0.99,7.35,0.04
Blake Corum,RB,LAR,@SF,10.0,,,,21.11,0.19,0.09,2.8985000000000003,0.0,0.64,4.32,0.0
Devin Neal,RB,NOQ,@CAR,10.0,,,,18.43,0.12,0.0,2.08,0.0,0.68,4.84,0.06
Raheem Mostert,RB,LV,@DEN,10.0,,,,19.41,0.14,0.0,1.8594764705882354,0.0,0.69,4.78,0.0
Braelon Allen,RB,NYJ,CLE,10.0,,,,15.8,0.12,0.0,2.099304347826087,0.0,0.68,5.06,0.06
Will Shipley,RB,PHI,@GB,10.0,,,,15.01,0.12,0.0,2.094,0.0,0.72,5.16,0.06
Sean Tucker,RB,TB,NE,10.0,,,,13.0,0.12,0.12,1.3941,0.0,0.54,3.9,0.0
Dameon Pierce,RB,HOU,JAX,10.0,,,,17.92,0.12,0.12,1.4019477611940296,0.0,0.72,5.16,0.0
Kyle Monangai,RB,CHI,NYG,10.0,,,,15.68,0.12,0.0,1.72,0.0,0.62,4.43,0.0
Isaiah Davis,RB,NYJQ,CLE,10.0,,,,16.37,0.12,0.0,1.7528666666666666,0.0,0.53,3.79,0.0
Ollie Gordon II,RB,MIA,BUF,10.0,,,,15.67,0.22,0.2,1.7200000000000002,0.0,0.45,3.3,0.0
Jacory Croskey-Merritt,RB,WASQ,DET,10.0,,,,16.62,0.15,0.0,1.9,0.0,0.38,2.75,0.0
DJ Giddens,RB,IND,ATL,10.0,,,,14.7,0.12,0.0,1.72,0.0,0.57,4.29,0.0
Ty Johnson,RB,BUF,@MIA,10.0,,,,10.14,0.06,0.0,1.733634146341463,0.0,0.72,6.96,0.06
Devin Singletary,RB,NYG,@CHI,10.0,,,,13.85,0.12,0.0,1.7406814159292034,0.0,0.62,4.18,0.0
Kendre Miller,RB,NO,@CAR,10.0,,,,15.73,0.12,0.0,1.741923076923077,0.0,0.48,3.36,0.0
Emanuel Wilson,RB,GB,PHI,10.0,,,,12.47,0.12,0.0,1.7461052631578946,0.0,0.62,4.55,0.0
Jarquez Hunter,RB,LAR,@SF,10.0,,,,14.32,0.12,0.0,1.72,0.0,0.44,2.94,0.0
Audric Estimé,RB,DEN,LV,10.0,,,,14.4,0.0,0.0,1.0,0.0,0.9,5.4,0.0
Khalil Herbert,RB,INDQ,ATL,10.0,,,,13.51,0.12,0.0,1.7385,0.0,0.42,3.06,0.0
Antonio Gibson,RB,NE,@TB,10.0,,,,8.76,0.06,0.0,1.476032142857143,0.0,0.88,6.6,0.0
Jordan James,RB,SFQ,LAR,10.0,,,,13.63,0.12,0.0,1.72,0.0,0.39,2.89,0.0
Kenneth Gainwell,RB,PIT,@LAC,10.0,,,,9.22,0.06,0.06,0.5501400000000001,0.0,0.62,4.43,0.06
Trevor Etienne,RB,CAR,NO,10.0,,,,10.5,0.07,0.0,1.42,0.0,0.62,4.53,0.0
Bijan Robinson,RB,ATL,CAR,11.0,,,,78.93,0.65,0.12,16.017127173373076,0.0,2.9,21.95,0.12
Jahmyr Gibbs,RB,DET,@PHI,11.0,,,,72.29,0.7,0.12,17.29837443438914,0.0,2.9,23.92,0.12
Saquon Barkley,RB,PHI,DET,11.0,,,,93.28,0.65,0.12,16.38482792207792,0.0,1.85,14.75,0.1
Christian McCaffrey,RB,SF,@ARI,11.0,,,,56.96,0.47,0.12,10.62302395209581,0.0,3.58,29.22,0.18
Derrick Henry,RB,BAL,@CLE,11.0,,,,92.08,0.77,0.12,13.833875,0.0,0.87,8.28,0.06
Ashton Jeanty,RB,LV,DAL,11.0,,,,71.55,0.53,0.12,11.42,0.0,2.53,19.2,0.1
Bucky Irving,RB,TB,@BUF,11.0,,,,64.72,0.5,0.12,14.304844770515292,0.0,2.83,21.03,0.13
De'Von Achane,RB,MIAQ,WAS,11.0,,,,55.03,0.35,0.12,9.82,0.0,3.73,27.53,0.18
Josh Jacobs,RB,GB,@NYG,11.0,,,,66.92,0.53,0.12,13.99499011627907,0.0,2.32,17.46,0.13
Joe MixonRB - HOUNFI-A,nan,nan,@TEN,11.0,,,,59.56,0.55,0.08,9.540000000000001,0.0,2.19,16.19,0.08
Omarion Hampton,RB,LAC,@JAX,11.0,,,,60.7,0.53,0.12,10.18,0.0,2.25,17.1,0.06
Kyren Williams,RB,LAR,SEA,11.0,,,,65.03,0.59,0.12,11.599700456678399,0.0,1.77,12.38,0.06
Chase Brown,RB,CIN,@PIT,11.0,,,,53.05,0.41,0.12,10.825959722222223,0.0,2.68,19.62,0.12
Chuba Hubbard,RB,CAR,@ATL,11.0,,,,61.45,0.41,0.12,10.691019530176757,0.0,2.16,15.87,0.06
James Cook,RB,BUF,TB,11.0,,,,57.04,0.44,0.11,10.979903153153154,0.0,2.01,15.67,0.12
Breece Hall,RB,NYJ,@NE,11.0,,,,60.3,0.3,0.12,11.461815063369125,0.0,2.3,18.16,0.11
James Conner,RB,ARI,SF,11.0,,,,57.76,0.47,0.12,11.165548587127159,0.0,2.03,15.06,0.06
Kenneth Walker III,RB,SEA,@LAR,11.0,,,,51.62,0.38,0.12,10.27109150085974,0.0,2.4,17.6,0.08
RJ Harvey,RB,DEN,KC,11.0,,,,53.47,0.42,0.0,9.059999999999999,0.0,1.95,14.32,0.09
TreVeyon Henderson,RB,NE,NYJ,11.0,,,,51.0,0.36,0.06,8.52,0.0,1.93,14.72,0.09
Quinshon Judkins,RB,CLE,BAL,11.0,,,,55.43,0.41,0.08,8.76,0.0,1.55,11.41,0.09
Tony Pollard,RB,TEN,HOU,11.0,,,,53.8,0.35,0.06,9.404388228606864,0.0,1.92,13.92,0.05
D'Andre Swift,RB,CHI,@MIN,11.0,,,,48.77,0.34,0.06,7.220000000000001,0.0,2.04,14.73,0.06
Aaron Jones,RB,MIN,CHI,11.0,,,,46.76,0.23,0.12,8.886395600912778,0.0,2.24,16.8,0.12
Jaylen Warren,RB,PIT,CIN,11.0,,,,44.12,0.24,0.06,9.008434210526316,0.0,2.5,18.54,0.06
Jaylen Warren,RB,PIT,CIN,11.0,,,,44.12,0.24,0.06,9.008434210526316,0.0,2.5,18.54,0.06
David Montgomery,RB,DET,@PHI,11.0,,,,46.96,0.53,0.06,9.13227549203374,0.0,1.31,9.89,0.06
Isiah Pacheco,RB,KC,@DEN,11.0,,,,49.04,0.35,0.06,7.3339583333333325,0.0,1.83,13.45,0.06
J.K. Dobbins,RB,DEN,KC,11.0,,,,39.9,0.37,0.15,6.249999999999999,0.0,2.24,15.83,0.08
Kaleb Johnson,RB,PIT,CIN,11.0,,,,46.17,0.42,0.05,7.729999999999999,0.0,1.48,10.98,0.06
Travis Etienne,RB,JAX,LAC,11.0,,,,37.84,0.23,0.06,7.9934001530612235,0.0,2.32,17.46,0.12
Tyrone Tracy Jr.,RB,NYG,GB,11.0,,,,44.7,0.23,0.06,6.5600000000000005,0.0,2.11,15.55,0.06
Brian Robinson,RB,WAS,@MIA,11.0,,,,43.11,0.45,0.06,6.880000000000001,0.0,1.21,8.83,0.06
Najee HarrisRB - LACNFI-A,nan,nan,@JAX,11.0,,,,40.68,0.29,0.06,6.92,0.0,1.51,10.39,0.06
Jordan Mason,RB,MIN,CHI,11.0,,,,37.08,0.29,0.0,5.168158192090396,0.0,1.2,8.7,0.06
Rhamondre Stevenson,RB,NEQ,NYJ,11.0,,,,35.55,0.24,0.06,6.693089680589679,0.0,1.5,10.54,0.06
Javonte Williams,RB,DAL,@LV,11.0,,,,30.72,0.23,0.0,7.148315712496316,0.0,1.72,11.95,0.06
Zach Charbonnet,RB,SEA,@LAR,11.0,,,,24.83,0.18,0.06,6.145137610619468,0.0,2.26,16.32,0.06
Austin Ekeler,RB,WAS,@MIA,11.0,,,,22.32,0.18,0.06,6.77957767214951,0.0,1.84,14.07,0.1
Tyjae Spears,RB,TENQ,HOU,11.0,,,,27.08,0.18,0.06,5.851542564102564,0.0,1.86,13.56,0.06
Cam Skattebo,RB,NYGQ,GB,11.0,,,,29.82,0.23,0.05,3.53,0.0,1.28,9.69,0.05
Ray Davis,RB,BUF,TB,11.0,,,,28.32,0.24,0.06,3.661074468085106,0.0,1.0,9.16,0.06
Jaydon Blue,RB,DALQ,@LV,11.0,,,,25.9,0.14,0.0,4.14,0.0,1.42,10.47,0.05
Bhayshul Tuten,RB,JAX,LAC,11.0,,,,25.13,0.18,0.0,3.44,0.0,1.26,9.26,0.06
Rachaad White,RB,TBQ,@BUF,11.0,,,,17.73,0.12,0.06,4.507373161764706,0.0,1.8,13.32,0.06
Trey Benson,RB,ARI,SF,11.0,,,,25.54,0.18,0.06,3.2966835443037974,0.0,1.06,7.62,0.06
Tyler Allgeier,RB,ATL,CAR,11.0,,,,31.08,0.21,0.05,4.3932232142857135,0.0,0.64,4.68,0.04
Isaac Guerendo,RB,SFQ,@ARI,11.0,,,,26.24,0.18,0.0,3.478839285714286,0.0,0.86,6.23,0.06
Justice Hill,RB,BAL,@CLE,11.0,,,,9.9,0.06,0.06,4.096017032967033,0.0,1.92,15.24,0.12
Jerome Ford,RB,CLE,BAL,11.0,,,,19.9,0.12,0.06,3.1704678882438317,0.0,1.35,9.73,0.06
Rico Dowdle,RB,CAR,@ATL,11.0,,,,21.47,0.12,0.06,3.8640670740474476,0.0,1.24,8.83,0.06
Jaylen Wright,RB,MIA,WAS,11.0,,,,22.63,0.18,0.06,3.2889724669603524,0.0,0.72,5.28,0.06
Roschon Johnson,RB,CHIQ,@MIN,11.0,,,,12.93,0.12,0.0,3.094,0.0,1.44,10.08,0.06
Jaleel McLaughlin,RB,DEN,KC,11.0,,,,17.45,0.11,0.12,2.801596926713948,0.0,1.44,10.08,0.0
Tank Bigsby,RB,JAX,LAC,11.0,,,,22.87,0.18,0.06,2.937375,0.0,0.62,4.49,0.0
Dylan Sampson,RB,CLE,BAL,11.0,,,,18.21,0.08,0.0,1.72,0.0,0.99,7.35,0.04
Miles Sanders,RB,DAL,@LV,11.0,,,,16.03,0.12,0.0,2.8416179924242426,0.0,0.9,6.6,0.06
Blake Corum,RB,LAR,SEA,11.0,,,,21.11,0.19,0.09,2.8985000000000003,0.0,0.64,4.32,0.0
Raheem Mostert,RB,LV,DAL,11.0,,,,19.41,0.14,0.0,1.8594764705882354,0.0,0.69,4.78,0.0
Braelon Allen,RB,NYJ,@NE,11.0,,,,15.8,0.12,0.0,2.099304347826087,0.0,0.68,5.06,0.06
Will Shipley,RB,PHI,DET,11.0,,,,15.01,0.12,0.0,2.094,0.0,0.72,5.16,0.06
Sean Tucker,RB,TB,@BUF,11.0,,,,13.0,0.12,0.12,1.3941,0.0,0.54,3.9,0.0
Dameon Pierce,RB,HOU,@TEN,11.0,,,,17.92,0.12,0.12,1.4019477611940296,0.0,0.72,5.16,0.0
Kyle Monangai,RB,CHI,@MIN,11.0,,,,15.68,0.12,0.0,1.72,0.0,0.62,4.43,0.0
Isaiah Davis,RB,NYJQ,@NE,11.0,,,,16.37,0.12,0.0,1.7528666666666666,0.0,0.53,3.79,0.0
Ollie Gordon II,RB,MIA,WAS,11.0,,,,15.67,0.22,0.2,1.7200000000000002,0.0,0.45,3.3,0.0
Jacory Croskey-Merritt,RB,WASQ,@MIA,11.0,,,,16.62,0.15,0.0,1.9,0.0,0.38,2.75,0.0
Ty Johnson,RB,BUF,TB,11.0,,,,10.14,0.06,0.0,1.733634146341463,0.0,0.72,6.96,0.06
Devin Singletary,RB,NYG,GB,11.0,,,,13.85,0.12,0.0,1.7406814159292034,0.0,0.62,4.18,0.0
Emanuel Wilson,RB,GB,@NYG,11.0,,,,12.47,0.12,0.0,1.7461052631578946,0.0,0.62,4.55,0.0
Samaje Perine,RB,CIN,@PIT,11.0,,,,7.43,0.06,0.0,1.8714220430107527,0.0,0.87,6.14,0.06
Jarquez Hunter,RB,LAR,SEA,11.0,,,,14.32,0.12,0.0,1.72,0.0,0.44,2.94,0.0
Audric Estimé,RB,DEN,KC,11.0,,,,14.4,0.0,0.0,1.0,0.0,0.9,5.4,0.0
Kareem Hunt,RB,KCQ,@DEN,11.0,,,,12.86,0.12,0.0,2.169491439594888,0.0,0.49,3.44,0.0
Antonio Gibson,RB,NE,NYJ,11.0,,,,8.76,0.06,0.0,1.476032142857143,0.0,0.88,6.6,0.0
Bijan Robinson,RB,ATL,@NO,12.0,,,,78.93,0.65,0.12,16.017127173373076,0.0,2.9,21.95,0.12
Jahmyr Gibbs,RB,DET,NYG,12.0,,,,72.29,0.7,0.12,17.29837443438914,0.0,2.9,23.92,0.12
Saquon Barkley,RB,PHI,@DAL,12.0,,,,93.28,0.65,0.12,16.38482792207792,0.0,1.85,14.75,0.1
Christian McCaffrey,RB,SF,CAR,12.0,,,,56.96,0.47,0.12,10.62302395209581,0.0,3.58,29.22,0.18
Derrick Henry,RB,BAL,NYJ,12.0,,,,92.08,0.77,0.12,13.833875,0.0,0.87,8.28,0.06
Ashton Jeanty,RB,LV,CLE,12.0,,,,71.55,0.53,0.12,11.42,0.0,2.53,19.2,0.1
Bucky Irving,RB,TB,@LAR,12.0,,,,64.72,0.5,0.12,14.304844770515292,0.0,2.83,21.03,0.13
Josh Jacobs,RB,GB,MIN,12.0,,,,66.92,0.53,0.12,13.99499011627907,0.0,2.32,17.46,0.13
Jonathan Taylor,RB,IND,@KC,12.0,,,,77.06,0.59,0.12,11.661261551155114,0.0,1.58,11.84,0.06
Joe MixonRB - HOUNFI-A,nan,nan,BUF,12.0,,,,59.56,0.55,0.08,9.540000000000001,0.0,2.19,16.19,0.08
Kyren Williams,RB,LAR,TB,12.0,,,,65.03,0.59,0.12,11.599700456678399,0.0,1.77,12.38,0.06
Chase Brown,RB,CIN,NE,12.0,,,,53.05,0.41,0.12,10.825959722222223,0.0,2.68,19.62,0.12
Alvin Kamara,RB,NO,ATL,12.0,,,,47.63,0.29,0.12,11.195355882352942,0.0,3.27,23.63,0.12
Chuba Hubbard,RB,CAR,@SF,12.0,,,,61.45,0.41,0.12,10.691019530176757,0.0,2.16,15.87,0.06
James Cook,RB,BUF,@HOU,12.0,,,,57.04,0.44,0.11,10.979903153153154,0.0,2.01,15.67,0.12
Breece Hall,RB,NYJ,@BAL,12.0,,,,60.3,0.3,0.12,11.461815063369125,0.0,2.3,18.16,0.11
James Conner,RB,ARI,JAX,12.0,,,,57.76,0.47,0.12,11.165548587127159,0.0,2.03,15.06,0.06
Kenneth Walker III,RB,SEA,@TEN,12.0,,,,51.62,0.38,0.12,10.27109150085974,0.0,2.4,17.6,0.08
TreVeyon Henderson,RB,NE,@CIN,12.0,,,,51.0,0.36,0.06,8.52,0.0,1.93,14.72,0.09
Quinshon Judkins,RB,CLE,@LV,12.0,,,,55.43,0.41,0.08,8.76,0.0,1.55,11.41,0.09
Tony Pollard,RB,TEN,SEA,12.0,,,,53.8,0.35,0.06,9.404388228606864,0.0,1.92,13.92,0.05
D'Andre Swift,RB,CHI,PIT,12.0,,,,48.77,0.34,0.06,7.220000000000001,0.0,2.04,14.73,0.06
Aaron Jones,RB,MIN,@GB,12.0,,,,46.76,0.23,0.12,8.886395600912778,0.0,2.24,16.8,0.12
Jaylen Warren,RB,PIT,@CHI,12.0,,,,44.12,0.24,0.06,9.008434210526316,0.0,2.5,18.54,0.06
David Montgomery,RB,DET,NYG,12.0,,,,46.96,0.53,0.06,9.13227549203374,0.0,1.31,9.89,0.06
David Montgomery,RB,DET,NYG,12.0,,,,46.96,0.53,0.06,9.13227549203374,0.0,1.31,9.89,0.06
Isiah Pacheco,RB,KC,IND,12.0,,,,49.04,0.35,0.06,7.3339583333333325,0.0,1.83,13.45,0.06
Kaleb Johnson,RB,PIT,@CHI,12.0,,,,46.17,0.42,0.05,7.729999999999999,0.0,1.48,10.98,0.06
Travis Etienne,RB,JAX,@ARI,12.0,,,,37.84,0.23,0.06,7.9934001530612235,0.0,2.32,17.46,0.12
Tyrone Tracy Jr.,RB,NYG,@DET,12.0,,,,44.7,0.23,0.06,6.5600000000000005,0.0,2.11,15.55,0.06
Jordan Mason,RB,MIN,@GB,12.0,,,,37.08,0.29,0.0,5.168158192090396,0.0,1.2,8.7,0.06
Rhamondre Stevenson,RB,NEQ,@CIN,12.0,,,,35.55,0.24,0.06,6.693089680589679,0.0,1.5,10.54,0.06
Javonte Williams,RB,DAL,PHI,12.0,,,,30.72,0.23,0.0,7.148315712496316,0.0,1.72,11.95,0.06
Zach Charbonnet,RB,SEA,@TEN,12.0,,,,24.83,0.18,0.06,6.145137610619468,0.0,2.26,16.32,0.06
Tyjae Spears,RB,TENQ,SEA,12.0,,,,27.08,0.18,0.06,5.851542564102564,0.0,1.86,13.56,0.06
Cam Skattebo,RB,NYGQ,@DET,12.0,,,,29.82,0.23,0.05,3.53,0.0,1.28,9.69,0.05
Ray Davis,RB,BUF,@HOU,12.0,,,,28.32,0.24,0.06,3.661074468085106,0.0,1.0,9.16,0.06
Jaydon Blue,RB,DALQ,PHI,12.0,,,,25.9,0.14,0.0,4.14,0.0,1.42,10.47,0.05
Bhayshul Tuten,RB,JAX,@ARI,12.0,,,,25.13,0.18,0.0,3.44,0.0,1.26,9.26,0.06
Rachaad White,RB,TBQ,@LAR,12.0,,,,17.73,0.12,0.06,4.507373161764706,0.0,1.8,13.32,0.06
Trey Benson,RB,ARI,JAX,12.0,,,,25.54,0.18,0.06,3.2966835443037974,0.0,1.06,7.62,0.06
Tyler Allgeier,RB,ATL,@NO,12.0,,,,31.08,0.21,0.05,4.3932232142857135,0.0,0.64,4.68,0.04
